Designation,Name,Location,Total_applicants,LinkedIn_Followers,Level,Involvement,Employee_count,Industry,technical_skills,PYTHON,C++,JAVA,HADOOP,SCALA,FLASK,PANDAS,SPARK,NUMPY,PHP,SQL,MYSQL,CSS,MONGODB,NLTK,TENSORFLOW,LINUX,RUBY,JAVASCRIPT,DJANGO,REACT,REACTJS,AI,UI,TABLEAU,NODEJS,EXCEL,POWER BI,SELENIUM,HTML,ML
Software Engineer- Blockchain,Uplers, Maharashtra,35,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Search Executive,Uplers, Karnataka,20,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Full Stack Developer,Uplers, Rajasthan,38,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
Data Architect,Uplers, Telangana,1,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Software Engineer- Blockchain,Uplers, Tamil Nadu,11,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Big Data Engineer - WFH,Uplers, India,16,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Software Engineer- Blockchain,Uplers, Delhi,32,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Cloud Software Engineer,Uplers, Madhya Pradesh,21,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Scientist- WFH,Uplers, Maharashtra,112,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
PPC Executive,Uplers, Karnataka,28,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Software Engineer- Blockchain,Uplers, Karnataka,13,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Data Scientist- WFH,Uplers, Maharashtra,74,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Software Engineer- Blockchain,Uplers, Telangana,64,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Technical Architect,Uplers, Telangana,2,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
ML Engineer - Remote,Uplers, India,12,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Big Data Engineer - WFH,Uplers, Telangana,27,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Linux Lead,Infosys, Karnataka,61,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Embedded Engineer,Tata Consultancy Services, Telangana,57,11996967,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
UI/UX Designer,Uplers, Rajasthan,166,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
Python,Tata Consultancy Services, Telangana,148,11996967,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
SF Tech Architect,Uplers, Tamil Nadu,1,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Python Developer,Uplers, Karnataka,65,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Systems Engineer- Back End,Uplers, Telangana,50,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Android Engineer- WFH,Uplers, Telangana,23,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Associate Python Programmer,Uplers, India,38,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Nodejs Lead,Infosys, Telangana,99,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Sr. Salesforce Developer (WFH),Uplers, Madhya Pradesh,20,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
Android App Developer- WFH,Uplers, Karnataka,10,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Scientist- WFH,Uplers, Tamil Nadu,48,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Technology Analyst - .Net,Infosys, Haryana,191,6790011,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Android App Developer- WFH,Uplers, West Bengal,15,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
PPC Executive- Associate,Uplers, Karnataka,44,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Python Software Developer,Uplers, Gujarat,68,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Unity Developer (WFH),Uplers, Haryana,3,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dotnet Software Developer,Uplers, Maharashtra,30,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Back End Developer,Uplers, Uttar Pradesh,47,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Cloud Software Engineer,Uplers, Uttar Pradesh,18,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Unity Developer (WFH),Uplers, West Bengal,2,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Solutions Architect,Uplers, Telangana,4,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Data Engineering Expert - WFH,Uplers, Haryana,4,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dotnet Software Developer,Uplers, Gujarat,25,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Search Engine Marketing (SEM) Manager,Uplers, Karnataka,5,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Unity Developer (WFH),Uplers, India,3,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Engineering Expert - WFH,Uplers, Tamil Nadu,13,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Engineer,Uplers, Gujarat,40,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Manager - Search Engine Marketing,Uplers, Karnataka,3,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Unity Developer (WFH),Uplers, Telangana,5,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Full Stack Developer (React & Node.js),Uplers, Rajasthan,22,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
Hiring for OTC- JAIPUR,Genpact, Rajasthan,47,2519518,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
SF Tech Architect - Associate,Uplers, Tamil Nadu,5,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Associate Python Programmer,Uplers, Gujarat,59,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
Python Developer,Uplers, Maharashtra,136,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Staff Software Engineer,Uplers, Haryana,11,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0
Cloud Software Engineer,Uplers, Telangana,36,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Performance Marketing Executive,Uplers, Karnataka,20,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Java Associate Developer (WFH),Uplers, Telangana,48,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1
Lead Google Analytics (WFH),Uplers, Gujarat,13,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1
Associate - Programmatic,Uplers, Rajasthan,27,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Dotnet Software Developer,Uplers, Karnataka,29,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Technology Analyst - .Net,Infosys, Tamil Nadu,144,6790011,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dotnet Developer,Infosys, Kerala,170,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Fullstack developer,Uplers, Rajasthan,33,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
Dotnet Software Developer,Uplers, Tamil Nadu,29,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Sr. Quality Analyst,Uplers, Telangana,111,793020,Full-time , Associate,5000, IT Services and IT Consulting,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
Lead Data Engineer,Uplers, Telangana,3,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
SEM Specialist,Uplers, Karnataka,6,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Dotnet Software Developer,Uplers, Telangana,31,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Technology Analyst - NodeJs (3-5 years) - Jaipur,Infosys, Rajasthan,30,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sr. Quality Analyst,Uplers, West Bengal,55,793020,Full-time , Associate,5000, IT Services and IT Consulting,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
Dotnet Software Developer,Uplers, Delhi,23,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
NodeJS,Tata Consultancy Services, West Bengal,7,11996967,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Embedded Engineer,Tata Consultancy Services, Karnataka,93,11996967,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Java Developer (3-5 yrs) Bhubaneshwar,Infosys, Odisha,42,6790011,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Senior Python Programmer,Uplers, Tamil Nadu,20,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
.Net Framework Developer,Uplers, Gujarat,32,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Android Developer- WFH,Uplers, West Bengal,90,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Senior Ad-Tech Specialist,Uplers, Madhya Pradesh,7,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
NodeJS,Tata Consultancy Services, Karnataka,16,11996967,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Python Developer,Uplers, Uttar Pradesh,47,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Senior Software Engineer (WFH),Uplers, Haryana,15,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1
Python,Tata Consultancy Services, Telangana,168,11996967,Full-time , Associate,10001, IT Services and IT Consulting,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
C++ Developer,Genpact, Telangana,72,2519518,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Senior Dotnet Developer,Infosys, Punjab,45,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AI Engineer - WFH,Uplers, Maharashtra,64,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Lead Data Engineer - WFH,Uplers, Uttar Pradesh,12,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
.Net Core Developer,Uplers, Karnataka,34,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Automotive Embedded Cybersecurity,Tata Consultancy Services, Maharashtra,19,11996967,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Java Software Engineer,Uplers, Uttar Pradesh,34,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1
Search Engine Marketing Manager,Uplers, Karnataka,3,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
NodeJS,Tata Consultancy Services, Telangana,21,11996967,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Technology Analyst - Devops - (3-5 years) - BHUBANESWAR,Infosys, Odisha,126,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Android Developer- WFH,Uplers, Tamil Nadu,33,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Blockchain Software Developer,Uplers, Gujarat,7,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
React Developer,Uplers, Rajasthan,70,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Java Developer (5-8 yrs) Bhubaneshwar,Infosys, Odisha,20,6790011,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Full Stack Engineer (React/Node.js),Uplers, Rajasthan,14,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
Embedded Engineer,Tata Consultancy Services, Telangana,58,11996967,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
UI/UX Designer,Uplers, Rajasthan,167,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
Database Engineer,Uplers, Telangana,27,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
Hiring for RTR- Jaipur,Genpact, Rajasthan,133,2519518,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Nodejs Lead,Infosys, Maharashtra,69,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Technology Analyst - NodeJs (3-5 years) - Pune,Infosys, Maharashtra,74,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Mobile Developer- Android,Uplers, Maharashtra,9,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dotnet Developer,Infosys, Odisha,115,6790011,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Node JS,Tata Consultancy Services, Karnataka,196,11996967,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Associate Digital Marketing (WFH),Uplers, Maharashtra,30,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Android Engineer- WFH,Uplers, India,19,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Associate Digital Marketing (WFH),Uplers, Maharashtra,33,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
NodeJS,Tata Consultancy Services, Maharashtra,20,11996967,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Engineer - Lead,Uplers, Haryana,8,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
Java Developer (5-8 yrs) Indore,Infosys, Madhya Pradesh,44,6790011,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Mobile Developer- Android,Uplers, Karnataka,21,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Paid Search Executive,Uplers, Karnataka,6,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Python Developer - WFH,Uplers, Haryana,79,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
